iter	Passed	Remaining
425	1902	42766
426	1907	42763
427	1912	42764
428	1917	42782
429	1922	42779
430	1926	42773
431	1930	42761
432	1934	42751
433	1938	42731
434	1943	42737
435	1948	42743
436	1953	42751
437	1958	42746
438	1962	42732
439	1966	42729
440	1971	42723
441	1976	42731
442	1980	42720
443	1985	42733
444	1991	42756
445	1995	42747
446	1999	42732
447	2003	42723
448	2008	42717
449	2012	42709
450	2016	42700
451	2020	42691
452	2025	42681
453	2029	42666
454	2033	42651
455	2037	42643
456	2041	42629
457	2045	42613
458	2049	42598
459	2053	42585
460	2057	42576
461	2061	42563
462	2065	42555
463	2070	42553
464	2074	42541
465	2078	42528
466	2082	42515
467	2087	42509
468	2091	42502
469	2095	42499
470	2100	42486
471	2104	42487
472	2109	42479
473	2113	42477
474	2117	42468
475	2121	42455
476	2126	42450
477	2130	42435
478	2134	42426
479	2138	42422
480	2143	42415
481	2147	42400
482	2151	42392
483	2155	42379
484	2159	42365
485	2163	42349
486	2167	42334
487	2171	42324
488	2175	42315
489	2179	42302
490	2183	42296
491	2188	42289
492	2192	42286
493	2197	42287
494	2201	42276
495	2205	42257
496	2209	42251
497	2214	42246
498	2217	42230
499	2221	42212
500	2226	42207
501	2230	42202
502	2234	42182
503	2238	42170
504	2242	42158
505	2246	42148
506	2250	42146
507	2256	42156
508	2260	42158
509	2263	42122
510	2267	42109
511	2271	42096
512	2275	42088
513	2280	42080
514	2284	42067
515	2288	42059
516	2292	42052
517	2297	42048
518	2301	42037
519	2305	42033
520	2308	41994
521	2312	41980
522	2316	41972
523	2319	41941
524	2323	41924
525	2326	41911
526	2331	41905
527	2335	41901
528	2339	41889
529	2343	41873
530	2348	41873
531	2352	41866
532	2356	41860
533	2360	41847
534	2364	41840
535	2369	41832
536	2373	41823
537	2377	41818
538	2382	41811
539	2386	41800
540	2390	41796
541	2395	41796
542	2399	41786
543	2403	41775
544	2407	41770
545	2411	41757
546	2415	41751
547	2420	41751
548	2424	41737
549	2428	41725
550	2432	41717
551	2437	41712
552	2441	41704
553	2445	41696
554	2449	41686
555	2454	41689
556	2457	41665
557	2462	41660
558	2466	41659
559	2471	41658
560	2475	41650
561	2480	41650
562	2484	41651
563	2489	41645
564	2493	41642
565	2498	41639
566	2502	41626
567	2506	41618
568	2510	41616
569	2515	41616
570	2519	41601
571	2523	41596
572	2527	41590
573	2532	41582
574	2535	41566
575	2540	41560
576	2543	41544
577	2548	41540
578	2552	41537
579	2557	41531
580	2561	41524
581	2565	41518
582	2569	41510
583	2574	41502
584	2578	41496
585	2582	41492
586	2586	41484
587	2591	41478
588	2595	41472
589	2600	41472
590	2604	41457
591	2608	41458
592	2613	41455
593	2617	41441
594	2621	41437
595	2624	41410
596	2628	41398
597	2632	41393
598	2636	41380
599	2640	41371
600	2644	41363
601	2649	41368
602	2654	41365
603	2658	41360
604	2662	41350
605	2667	41346
606	2671	41343
607	2676	41340
608	2680	41330
609	2684	41321
610	2688	41319
611	2693	41312
612	2696	41299
613	2700	41288
614	2704	41278
615	2709	41273
616	2713	41264
617	2717	41260
618	2722	41253
619	2725	41238
620	2729	41226
621	2733	41214
622	2738	41210
623	2742	41207
624	2746	41198
625	2750	41182
626	2754	41174
627	2758	41166
628	2762	41159
629	2766	41151
630	2771	41146
631	2775	41136
632	2779	41131
633	2783	41119
634	2788	41117
635	2792	41107
636	2796	41104
637	2800	41100
638	2805	41100
639	2810	41101
640	2815	41101
641	2819	41094
642	2823	41089
643	2827	41082
644	2832	41082
645	2836	41075
646	2840	41063
647	2844	41054
648	2849	41057
649	2855	41068
650	2860	41074
651	2865	41085
652	2872	41110
653	2878	41140
654	2885	41166
655	2891	41189
656	2898	41212
657	2904	41243
658	2911	41274
659	2918	41296
660	2922	41293
